loc,total_come,total_exit,move,move_inloc,come_in_loc,exit_in_loc,come_out_loc,exit_out_loc
sum,"566,662","566,662",0,"219,210","165,042","165,042","182,410","182,410"
seoul,"108,106","118,660","-10,554","31,122","43,365","43,365","33,619","44,173"
busan,"32,278","33,785","-1,507","9,850","14,107","14,107","8,321","9,828"
daegu,"25,251","27,057","-1,806","9,764","9,717","9,717","5,770","7,576"
incheon,"34,316","32,700","1,616","11,895","10,214","10,214","12,207","10,591"
gwangju,"15,889","16,070",-181,"5,626","5,525","5,525","4,738","4,919"
daejeon,"17,714","18,113",-399,"5,457","6,580","6,580","5,677","6,076"
ulsan,"11,134","11,199",-65,"4,072","3,714","3,714","3,348","3,413"
sejong,"6,024","4,980","1,044","2,543",0,0,"3,481","2,437"
kyeonggi,"162,677","154,108","8,569","65,498","46,518","46,518","50,661","42,092"
gangwon,"18,596","17,404","1,192","9,027","2,838","2,838","6,731","5,539"
choong_north,"15,915","15,329",586,"7,965","1,823","1,823","6,127","5,541"
choong_south,"21,086","19,712","1,374","8,240","3,209","3,209","9,637","8,263"
jeon_north,"18,964","19,284",-320,"10,633","3,825","3,825","4,506","4,826"
jeon_south,"17,725","17,505",220,"7,577","3,852","3,852","6,296","6,076"
kyeong_north,"24,387","23,693",694,"11,008","3,874","3,874","9,505","8,811"
kyeong_south,"29,408","30,189",-781,"15,067","5,184","5,184","9,157","9,938"
jeju,"7,192","6,874",318,"3,866",697,697,"2,629","2,311"
